gbest pbestAvg pbestSim popSim numsOfHui
23965.0 1652.7667 178.91669 178.91669 0
27793.0 3845.4333 150.25548 156.49817 0
27793.0 7755.033 144.64676 152.66098 0
27793.0 8764.934 149.69893 163.88269 0
27793.0 10716.267 159.85216 163.4784 0
27793.0 10716.267 159.85216 160.45702 0
27793.0 12335.434 166.89917 159.34532 0
27793.0 12335.434 166.89917 162.7847 0
47742.0 15549.767 191.16861 154.05681 0
47742.0 15828.333 199.65321 156.43494 0
47742.0 15828.333 199.65321 153.45319 0
47742.0 17143.033 204.5178 161.09114 0
47742.0 17143.033 204.5178 174.36281 0
47742.0 19183.133 221.8204 174.74417 0
47742.0 19183.133 221.8204 173.38818 0
47742.0 19183.133 221.8204 171.64024 0
47742.0 22375.934 237.6978 173.54146 0
47742.0 22375.934 237.6978 198.14163 0
47742.0 24446.166 257.74182 187.10391 0
47742.0 24446.166 257.74182 198.2511 0
47742.0 28187.834 276.6754 180.24211 0
47742.0 28211.066 277.9504 181.9211 0
47742.0 28876.033 278.39597 186.4983 0
47742.0 28876.033 278.39597 175.41084 0
47742.0 29346.166 290.14737 171.85898 0
47742.0 29821.066 291.6978 192.97932 0
47742.0 29821.066 291.6978 167.04663 0
47742.0 29821.066 291.6978 190.52768 0
47742.0 29982.033 292.3572 177.19283 0
47742.0 30947.867 294.00806 203.31566 0
47742.0 33549.066 312.4512 173.85735 0
47742.0 33710.035 313.3632 174.69992 0
47742.0 34058.6 311.75452 199.60971 0
47742.0 35650.0 330.7814 209.07819 0
47742.0 35650.0 330.7814 183.01663 0
47742.0 35650.0 330.7814 168.87778 0
47742.0 35650.0 330.7814 170.08626 0
47742.0 35650.0 330.7814 198.51659 0
47742.0 35650.0 330.7814 176.40344 0
47742.0 36154.0 331.64215 187.67468 0
47742.0 36658.0 332.68475 189.77646 0
47742.0 38465.535 345.83902 188.17517 0
47742.0 38930.168 362.93524 175.0719 0
47742.0 38930.168 362.93524 172.06238 0
47742.0 39595.133 365.9929 189.98648 0
47742.0 41041.367 370.2293 159.3916 0
53534.0 41234.434 367.8754 201.27074 0
53534.0 41234.434 367.8754 175.90926 0
53534.0 41234.434 367.8754 159.21509 0
53534.0 41499.5 369.289 186.5366 0
53534.0 42270.7 376.94336 182.7084 0
53534.0 43796.5 379.20923 216.2246 0
53534.0 43989.566 377.6568 177.22742 0
53534.0 44265.5 376.62677 187.34427 0
53534.0 44265.5 376.62677 205.98401 0
53534.0 44265.5 376.62677 178.95894 0
53534.0 45123.535 379.91672 172.74792 0
53534.0 47101.066 397.84213 195.3782 0
53534.0 47487.2 396.4694 239.44789 0
53534.0 47739.766 393.72235 200.53485 0
53534.0 47783.1 395.67053 168.32002 0
53534.0 47783.1 395.67053 182.78612 0
53534.0 48641.133 400.46774 202.0851 0
53534.0 48893.7 398.78134 191.92976 0
53534.0 48893.7 398.78134 212.97191 0
53534.0 48893.7 398.78134 183.36932 0
53534.0 48893.7 398.78134 205.26128 0
53534.0 48893.7 398.78134 191.27298 0
53534.0 48893.7 398.78134 181.02701 0
53534.0 49279.832 399.90866 176.38586 0
53534.0 49279.832 399.90866 189.31093 0
53534.0 49472.9 400.74506 188.62968 0
53534.0 49821.4 403.90274 167.03229 0
53534.0 49821.4 403.90274 194.75143 0
53534.0 49821.4 403.90274 183.09969 0
58595.0 50528.867 403.60144 203.22958 0
58595.0 51172.465 403.5783 199.76335 0
58595.0 51172.465 403.5783 219.36778 0
58595.0 51172.465 403.5783 185.18965 0
58595.0 52027.066 401.59412 181.74686 0
58595.0 52027.066 401.59412 184.43134 0
