gbest pbestAvg pbestSim popSim numsOfHui
23965.0 1652.7667 178.91669 178.91669 0
23965.0 1652.7667 178.91669 156.72813 0
23965.0 1652.7667 178.91669 122.57553 0
23965.0 1652.7667 178.91669 123.70474 0
23965.0 1652.7667 178.91669 119.04498 0
23965.0 1652.7667 178.91669 123.20075 0
28422.0 1807.5 179.24414 123.66704 0
28422.0 1919.9333 177.20982 129.00146 0
28422.0 1919.9333 177.20982 139.61198 0
28422.0 1965.9333 176.27571 148.03731 0
28422.0 1986.7333 174.70854 152.91165 0
73262.0 4255.1 175.97705 152.14816 0
73262.0 4751.2 175.23103 142.11853 0
73262.0 5252.6 173.24542 135.82964 0
74251.0 7763.2666 171.82414 142.18117 0
74251.0 11617.366 173.2189 133.975 0
74251.0 12125.566 171.87637 129.59677 0
74251.0 12503.6 165.0308 129.1892 0
74251.0 13591.533 168.12758 137.62354 0
74251.0 13591.533 168.12758 141.94167 0
154186.0 16545.9 169.39133 153.34886 0
154186.0 16545.9 169.39133 148.96298 0
154186.0 17230.633 171.44556 146.56111 0
179151.0 20968.367 172.03546 142.9837 0
179151.0 26936.633 170.35751 143.29086 0
185961.0 33646.867 173.50012 146.72343 0
257959.0 49580.8 174.96419 142.91016 0
257959.0 54114.6 168.19102 144.26854 0
257959.0 58576.9 168.72096 141.34242 0
257959.0 64364.465 169.23457 154.65057 0
257959.0 65451.734 170.658 141.7619 0
266803.0 70687.2 165.61389 149.76534 0
266803.0 73874.336 164.94826 137.87524 0
334385.0 85638.63 163.4604 138.5967 0
358997.0 93839.766 163.03105 144.92172 0
358997.0 106422.87 161.04509 144.3601 0
359163.0 114540.234 163.48419 143.63359 0
359163.0 115769.2 164.55815 139.16139 0
361069.0 122175.266 170.32303 152.83768 0
380452.0 139197.83 167.07507 155.7601 0
391914.0 144563.2 166.9906 147.68958 0
490047.0 165791.06 168.26033 146.77559 0
490047.0 169226.64 165.79678 152.63338 0
490047.0 172469.33 169.67966 158.84538 0
490047.0 182900.6 169.76596 142.52838 0
490047.0 187080.83 170.37947 158.0376 0
490047.0 203175.3 170.19067 151.54123 0
517424.0 207526.27 170.53865 153.71858 0
517424.0 213504.33 172.7557 152.02005 0
517424.0 215687.23 175.31319 149.02623 0
517424.0 226564.5 178.44254 163.87773 0
517424.0 242038.94 184.32925 161.25047 0
527650.0 251921.3 182.76819 158.11649 0
527650.0 254282.03 186.69788 161.25276 0
570869.0 257189.97 189.4102 165.26321 0
570869.0 258343.56 189.10887 175.53018 0
570869.0 269743.5 190.79199 172.11978 0
605459.0 275810.1 190.71118 168.92061 0
612687.0 290429.1 191.04948 175.07066 0
612687.0 299743.84 192.96931 179.8801 0
612687.0 301035.16 196.54959 180.42267 0
625271.0 305324.66 198.31009 183.50186 0
625271.0 315991.97 203.22446 193.61978 0
625271.0 318037.56 204.02324 190.26611 0
625271.0 331746.62 211.48985 198.72467 0
625271.0 336898.1 214.13876 192.6104 0
625271.0 337184.72 215.76971 194.18277 0
625271.0 337664.5 214.99959 186.62999 0
625271.0 339851.78 214.42717 192.4675 0
625271.0 341700.1 214.7943 210.8486 0
625271.0 342155.44 217.5556 198.53157 0
625271.0 344414.22 220.74733 200.42062 0
625271.0 365397.06 230.16182 213.22794 0
625271.0 373610.8 235.50299 205.26785 0
625271.0 377577.56 237.3118 203.09085 0
625271.0 384358.97 240.6232 215.05864 0
625271.0 384358.97 240.6232 210.98279 0
625271.0 384358.97 240.6232 204.19913 0
625271.0 388301.47 244.5171 222.26372 0
625271.0 388301.47 244.5171 215.99641 0
625271.0 389695.4 244.66267 221.90448 0
625271.0 390359.47 246.88243 223.80687 0
628301.0 390460.47 245.09245 220.82411 0
628301.0 393075.9 245.01732 218.22032 0
628301.0 393075.9 245.01732 209.59071 0
628301.0 393335.66 242.36685 206.53116 0
628301.0 393335.66 242.36685 207.93524 0
628301.0 396594.78 241.57198 205.19943 0
628301.0 396796.78 240.30154 208.99693 0
681000.0 399074.6 241.8283 217.52977 0
681000.0 400922.28 242.01898 222.69498 0
681000.0 405768.22 238.46765 208.25574 0
681000.0 407625.88 238.46764 215.64713 0
681000.0 410670.8 236.26193 209.32225 0
681000.0 414285.06 237.10922 225.11745 0
681000.0 420889.56 237.85571 222.0767 0
685719.0 421046.88 236.64595 214.44115 0
685719.0 422576.56 238.42012 218.98956 0
685719.0 424333.2 239.65501 215.82932 0
685719.0 424786.72 237.09125 216.31691 0
685719.0 427597.53 242.59206 212.59476 0
685719.0 430275.2 244.34666 213.57407 0
685719.0 432503.72 245.72148 217.71606 0
685719.0 432661.03 245.92255 225.0207 0
685719.0 432818.34 246.29028 224.68265 0
685719.0 432975.62 246.82466 228.31987 0
685719.0 432975.62 246.82466 229.35341 0
685719.0 433132.94 247.52571 231.99898 0
685719.0 433132.94 247.52571 221.04453 0
685719.0 433502.2 249.5257 227.14362 0
685719.0 433816.8 251.73543 232.79132 0
685719.0 433816.8 251.73543 225.28937 0
685719.0 433816.8 251.73543 228.9368 0
685719.0 433816.8 251.73543 224.11917 0
685719.0 433816.8 251.73543 225.002 0
685719.0 433816.8 251.73543 232.51346 0
685719.0 433974.1 253.09036 238.48807 0
685719.0 433974.1 253.09036 229.88077 0
685719.0 434131.4 254.61186 230.48842 0
685719.0 434131.4 254.61186 226.07149 0
685719.0 434131.4 254.61186 228.9103 0
685719.0 434131.4 254.61186 233.2844 0
685719.0 434131.4 254.61186 239.01477 0
685719.0 434131.4 254.61186 238.59343 0
685719.0 434131.4 254.61186 229.72533 0
685719.0 434131.4 254.61186 227.02734 0
685719.0 434288.7 256.30005 241.33311 0
685719.0 434288.7 256.30005 237.11702 0
685719.0 434288.7 256.30005 245.8267 0
685719.0 434288.7 256.30005 231.77582 0
685719.0 434288.7 256.30005 230.83806 0
685719.0 434288.7 256.30005 219.35008 0
685719.0 434288.7 256.30005 244.07721 0
685719.0 434288.7 256.30005 222.26645 0
685719.0 434288.7 256.30005 230.2355 0
685719.0 434288.7 256.30005 229.31256 0
685719.0 434288.7 256.30005 239.97086 0
685719.0 434288.7 256.30005 223.812 0
685719.0 434288.7 256.30005 224.00972 0
685719.0 434288.7 256.30005 241.50201 0
685719.0 434288.7 256.30005 229.42313 0
685719.0 434288.7 256.30005 225.38078 0
685719.0 434288.7 256.30005 232.00821 0
685719.0 434288.7 256.30005 235.30139 0
685719.0 434783.7 259.586 229.52034 0
685719.0 434783.7 259.586 246.49268 0
685719.0 434783.7 259.586 226.07913 0
685719.0 434783.7 259.586 241.36426 0
685719.0 434783.7 259.586 239.58678 0
685719.0 437044.38 260.66656 246.48248 0
685719.0 437044.38 260.66656 241.03728 0
685719.0 437044.38 260.66656 246.19089 0
685719.0 437044.38 260.66656 230.86868 0
685719.0 437044.38 260.66656 234.32648 0
685719.0 438193.1 262.12473 248.96695 0
685719.0 438193.1 262.12473 238.58813 0
685719.0 438193.1 262.12473 229.99295 0
685719.0 438193.1 262.12473 227.70782 0
685719.0 438193.1 262.12473 239.63872 0
685719.0 442186.47 260.71478 231.96356 0
685719.0 442186.47 260.71478 241.91766 0
685719.0 442986.78 263.0584 236.95595 0
685719.0 442986.78 263.0584 239.08081 0
685719.0 442986.78 263.0584 239.94795 0
685719.0 442986.78 263.0584 248.75792 0
685719.0 442986.78 263.0584 231.07588 0
685719.0 442986.78 263.0584 233.68542 0
685719.0 450068.44 265.8682 236.81169 0
685719.0 452314.44 266.09467 242.16267 0
685719.0 452643.38 267.64606 242.95184 0
685719.0 452643.38 267.64606 237.6049 0
685719.0 452643.38 267.64606 241.73329 0
685719.0 452643.38 267.64606 240.38889 0
685719.0 452643.38 267.64606 238.83693 0
685719.0 452643.38 267.64606 250.35603 0
685719.0 460618.94 272.02017 260.27292 0
685719.0 460618.94 272.02017 247.64497 0
685719.0 460618.94 272.02017 251.44519 0
685719.0 460618.94 272.02017 246.7156 0
685719.0 463275.2 269.2978 237.32059 0
685719.0 463275.2 269.2978 258.0249 0
685719.0 463275.2 269.2978 250.08998 0
685719.0 463275.2 269.2978 245.49644 0
685719.0 470514.78 271.59558 250.59445 0
685719.0 472659.03 271.59558 241.0949 0
685719.0 472659.03 271.59558 253.74901 0
685719.0 475224.0 272.7645 235.89903 0
685719.0 475224.0 272.7645 250.77669 0
685719.0 475224.0 272.7645 252.21027 0
685719.0 475381.3 274.5689 264.7927 0
685719.0 480003.3 275.96313 249.82384 0
685719.0 480003.3 275.96313 247.60489 0
685719.0 480003.3 275.96313 247.03525 0
685719.0 480003.3 275.96313 243.6034 0
685719.0 480003.3 275.96313 240.31607 0
685719.0 480003.3 275.96313 249.96448 0
685719.0 480003.3 275.96313 240.7695 0
685719.0 480003.3 275.96313 260.05548 0
685719.0 480003.3 275.96313 244.9953 0
685719.0 480003.3 275.96313 250.2324 0
685719.0 480003.3 275.96313 253.42094 0
685719.0 480003.3 275.96313 247.99756 0
685719.0 480003.3 275.96313 244.52837 0
685719.0 480003.3 275.96313 251.1377 0
685719.0 480003.3 275.96313 239.15907 0
685719.0 480003.3 275.96313 255.97652 0
685719.0 480003.3 275.96313 238.5197 0
685719.0 480003.3 275.96313 243.24129 0
685719.0 480003.3 275.96313 234.16278 0
685719.0 480003.3 275.96313 238.93748 0
685719.0 480003.3 275.96313 243.29405 0
685719.0 480003.3 275.96313 238.88597 0
685719.0 480003.3 275.96313 242.23611 0
685719.0 480003.3 275.96313 254.2804 0
685719.0 480003.3 275.96313 243.44589 0
685719.0 480003.3 275.96313 250.89832 0
685719.0 480003.3 275.96313 250.5876 0
685719.0 480003.3 275.96313 252.23653 0
685719.0 480003.3 275.96313 261.8135 0
685719.0 480003.3 275.96313 243.17494 0
685719.0 480003.3 275.96313 252.70058 0
685719.0 480003.3 275.96313 245.57811 0
685719.0 480003.3 275.96313 241.16595 0
685719.0 480003.3 275.96313 242.03311 0
685719.0 480003.3 275.96313 253.31479 0
685719.0 480003.3 275.96313 252.17955 0
685719.0 480003.3 275.96313 247.45963 0
685719.0 480003.3 275.96313 243.37671 0
685719.0 480003.3 275.96313 249.16168 0
685719.0 480003.3 275.96313 258.60812 0
685719.0 480003.3 275.96313 249.48047 0
685719.0 480003.3 275.96313 238.42566 0
685719.0 480003.3 275.96313 251.1381 0
685719.0 480003.3 275.96313 242.74171 0
685719.0 480003.3 275.96313 260.40448 0
685719.0 480003.3 275.96313 259.67416 0
685719.0 480003.3 275.96313 255.01917 0
685719.0 480003.3 275.96313 253.1016 0
685719.0 480003.3 275.96313 260.37946 0
685719.0 480003.3 275.96313 245.90494 0
685719.0 480003.3 275.96313 254.21657 0
685719.0 480003.3 275.96313 260.40576 0
685719.0 480003.3 275.96313 244.21004 0
685719.0 480003.3 275.96313 255.28165 0
685719.0 480003.3 275.96313 242.86061 0
685719.0 480003.3 275.96313 247.00249 0
685719.0 480003.3 275.96313 261.04068 0
685719.0 480003.3 275.96313 250.61433 0
685719.0 480003.3 275.96313 252.56308 0
685719.0 480003.3 275.96313 251.8202 0
685719.0 480003.3 275.96313 250.44646 0
685719.0 480003.3 275.96313 245.6203 0
685719.0 480003.3 275.96313 251.99437 0
685719.0 480003.3 275.96313 243.26 0
685719.0 480003.3 275.96313 249.23697 0
685719.0 480003.3 275.96313 246.27202 0
685719.0 480003.3 275.96313 245.0022 0
685719.0 480003.3 275.96313 249.39264 0
685719.0 480003.3 275.96313 249.75398 0
685719.0 480003.3 275.96313 251.37926 0
685719.0 480003.3 275.96313 253.11693 0
685719.0 480003.3 275.96313 250.48497 0
685719.0 480003.3 275.96313 248.96523 0
685719.0 480003.3 275.96313 252.8709 0
685719.0 480003.3 275.96313 243.7725 0
685719.0 480003.3 275.96313 244.142 0
685719.0 480003.3 275.96313 245.02754 0
685719.0 480003.3 275.96313 251.09283 0
685719.0 480003.3 275.96313 247.03195 0
685719.0 480003.3 275.96313 240.53177 0
685719.0 480003.3 275.96313 252.63 0
685719.0 480003.3 275.96313 257.08075 0
685719.0 480003.3 275.96313 251.79884 0
685719.0 480003.3 275.96313 242.08357 0
685719.0 480003.3 275.96313 259.50964 0
685719.0 480003.3 275.96313 258.92804 0
685719.0 480003.3 275.96313 248.6917 0
685719.0 480003.3 275.96313 242.36569 0
685719.0 480003.3 275.96313 250.7828 0
685719.0 480003.3 275.96313 246.6033 0
685719.0 480003.3 275.96313 246.14087 0
685719.0 480003.3 275.96313 257.23788 0
685719.0 480003.3 275.96313 246.00677 0
685719.0 480003.3 275.96313 242.08946 0
685719.0 480003.3 275.96313 241.84889 0
685719.0 480003.3 275.96313 251.56624 0
685719.0 480003.3 275.96313 239.36421 0
